Cue	NORMAL Breathing
15078504	3.719
15078507	3.719
15078510	3.720
15078512	3.720
15078515	3.720
15078518	3.721
15078521	3.721
15078524	3.722
15078527	3.722
15078530	3.723
15078533	3.723
15078535	3.724
15078538	3.724
15078541	3.725
15078544	3.725
15078547	3.726
15078550	3.726
15078553	3.727
15078556	3.727
15078558	3.727
15078561	3.728
15078564	3.728
15078567	3.728
15078570	3.728
15078573	3.729
15078576	3.729
15078579	3.729
15078582	3.729
15078584	3.729
15078587	3.730
15078590	3.730
15078593	3.730
15078596	3.730
15078599	3.730
15078602	3.730
15078605	3.730
15078607	3.730
15078610	3.730
15078613	3.730
15078616	3.730
15078619	3.729
15078622	3.729
15078625	3.728
15078628	3.728
15078630	3.727
15078633	3.727
15078636	3.726
15078639	3.726
15078642	3.725
15078645	3.725
15078648	3.724
15078651	3.724
15078654	3.723
15078656	3.723
15078659	3.722
15078662	3.722
15078665	3.722
15078668	3.722
15078671	3.722
15078674	3.723
15078677	3.723
15078679	3.723
15078682	3.724
15078685	3.725
15078688	3.725
15078691	3.726
15078694	3.727
15078697	3.727
15078700	3.728
15078702	3.728
15078705	3.728
15078708	3.729
15078711	3.729
15078714	3.730
15078717	3.730
15078720	3.730
15078723	3.730
15078726	3.731
15078728	3.731
15078731	3.731
15078734	3.732
15078737	3.732
15078740	3.732
15078743	3.732
15078746	3.733
15078749	3.733
15078751	3.733
15078754	3.733
15078757	3.733
15078760	3.733
15078763	3.733
15078766	3.734
15078769	3.734
15078772	3.734
15078774	3.734
15078777	3.733
15078780	3.733
15078783	3.733
15078786	3.734
15078789	3.734
15078792	3.734
15078795	3.734
15078798	3.734
15078800	3.734
15078803	3.734
15078806	3.734
15078809	3.735
15078812	3.734
15078815	3.734
15078818	3.734
15078821	3.734
15078823	3.734
15078826	3.734
15078829	3.734
15078832	3.734
15078835	3.734
15078838	3.734
15078841	3.734
15078844	3.735
15078846	3.735
15078849	3.735
15078852	3.735
15078855	3.735
15078858	3.735
15078861	3.735
15078864	3.736
15078867	3.736
15078870	3.736
15078872	3.736
15078875	3.736
15078878	3.736
15078881	3.736
15078884	3.736
15078887	3.736
15078890	3.736
15078893	3.736
15078895	3.736
15078898	3.736
15078901	3.736
15078904	3.736
15078907	3.736
15078910	3.736
15078913	3.736
15078916	3.736
15078918	3.736
15078921	3.736
15078924	3.736
15078927	3.736
15078930	3.736
15078933	3.736
15078936	3.735
15078939	3.735
15078942	3.735
15078944	3.734
15078947	3.734
15078950	3.734
15078953	3.734
15078956	3.734
15078959	3.734
15078962	3.734
15078964	3.734
15078967	3.734
15078970	3.734
15078973	3.734
15078976	3.734
15078979	3.735
15078982	3.735
15078985	3.735
15078988	3.735
15078990	3.735
15078993	3.735
15078996	3.735
15078999	3.735
15079002	3.736
15079005	3.736
15079008	3.735
15079011	3.735
15079014	3.735
15079016	3.734
15079019	3.734
15079022	3.733
15079025	3.732
15079028	3.732
15079031	3.731
15079034	3.730
15079037	3.729
15079039	3.728
15079042	3.727
15079045	3.727
15079048	3.726
15079051	3.726
15079054	3.726
15079057	3.726
15079060	3.726
15079062	3.727
15079065	3.727
15079068	3.728
15079071	3.729
15079074	3.729
15079077	3.730
15079080	3.730
15079083	3.730
15079086	3.730
15079088	3.729
15079091	3.729
15079094	3.729
15079097	3.728
15079100	3.727
15079103	3.726
15079106	3.725
15079109	3.724
15079111	3.724
15079114	3.724
15079117	3.724
15079120	3.724
15079123	3.724
15079126	3.724
15079129	3.725
15079132	3.726
15079134	3.727
15079137	3.728
15079140	3.728
15079143	3.729
15079146	3.729
15079149	3.730
15079152	3.730
15079155	3.731
15079158	3.731
15079160	3.732
15079163	3.732
15079166	3.732
15079169	3.733
15079172	3.733
15079175	3.733
15079178	3.734
15079181	3.734
15079183	3.734
15079186	3.734
15079189	3.733
15079192	3.732
15079195	3.731
15079198	3.730
15079201	3.728
15079204	3.726
15079206	3.724
15079209	3.722
15079212	3.719
15079215	3.717
15079218	3.714
15079221	3.711
15079224	3.709
15079227	3.707
15079230	3.706
